"日期","收市","開市","高","低","成交量","更改%"
"2013年11月6日","107.00","106.50","107.50","106.50","17.44K","0.47%"
"2013年11月5日","106.50","108.50","109.00","106.50","21.86K","-2.29%"
"2013年11月4日","109.00","108.00","109.00","108.00","9.64K","-0.46%"
"2013年11月1日","109.50","110.50","110.50","108.50","10.87K","0.00%"
"2013年10月31日","109.50","108.50","109.50","108.00","23.10K","-0.45%"
"2013年10月30日","110.00","109.00","110.00","109.00","16.77K","0.46%"
"2013年10月29日","109.50","108.50","109.50","108.00","21.53K","0.00%"
"2013年10月28日","109.50","108.00","109.50","107.50","21.24K","2.34%"
"2013年10月25日","107.00","108.50","109.00","106.50","37.24K","-2.73%"
"2013年10月24日","110.00","109.00","110.00","108.50","21.57K","-0.90%"
"2013年10月23日","111.00","111.00","111.50","110.00","23.06K","-0.45%"
"2013年10月22日","111.50","110.00","111.50","109.50","39.84K","1.36%"
"2013年10月21日","110.00","111.00","111.50","109.50","41.33K","0.00%"
"2013年10月18日","110.00","108.50","110.00","108.50","60.13K","2.80%"
"2013年10月17日","107.00","107.50","108.00","107.00","28.19K","0.94%"
"2013年10月16日","106.00","108.00","108.00","106.00","19.08K","-0.93%"
"2013年10月15日","107.00","106.50","107.00","106.00","21.68K","1.90%"
"2013年10月14日","105.00","106.50","106.50","105.00","18.80K","-1.41%"
"2013年10月11日","106.50","105.00","107.50","105.00","59.44K","1.43%"
"2013年10月9日","105.00","104.00","105.50","103.00","26.19K","0.00%"
"2013年10月8日","105.00","103.50","105.50","103.00","35.15K","1.94%"
"2013年10月7日","103.00","103.50","104.00","102.00","24.40K","-0.96%"
"2013年10月4日","104.00","104.50","105.00","103.50","21.99K","-0.95%"
"2013年10月3日","105.00","103.50","106.00","103.00","50.84K","1.94%"
"2013年10月2日","103.00","103.50","103.50","102.00","14.71K","1.48%"
"2013年10月1日","101.50","100.50","102.50","100.50","22.93K","1.00%"
"2013年9月30日","100.50","100.50","102.00","100.00","46.22K","-2.43%"
"2013年9月27日","103.00","103.50","103.50","102.00","26.66K","1.48%"
"2013年9月26日","101.50","103.50","103.50","101.50","23.06K","-1.46%"
"2013年9月25日","103.00","104.50","104.50","103.00","35.29K","-1.90%"
"2013年9月24日","105.00","105.00","105.50","104.00","28.68K","-0.47%"
